title,company,url,location,career,education,salary_etc,job_category,due_date
Financial Data Analyst,(주)야놀자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52132948&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울강남구,경력 3~5년,N/A,학력무관,"데이터분석가, 재무, 회계, 컨텐츠제공",N/A
[중견그룹] 헬스케어 Data Analyst (3~5년),(주)투비파트너즈,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52233091&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울서초구,경력 3~5년,N/A,대졸↑,"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, 데이터마이닝",~ 11/20(목)
[유명스타트업/업계1위] Sr. Data Analyst-강남권/정규직,(주)맨파워써치앤컨설팅,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52254185&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울강남구,경력 6~11년,N/A,대졸↑,"통계/분석, 데이터분석가, 데이터분석, 모바일APP",~ 11/22(토)
Marketing Data Analyst 경력 채용,(주)메타넷엑스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52128212&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울종로구,경력 5~20년,N/A,대졸↑,"데이터분석가, Javascript, SI·시스템통합",~ 11/23(일)
Data Analyst 채용,메가존클라우드(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52045529&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,경기과천시,경력3년↑,N/A,초대졸↑,"데이터엔지니어, 데이터분석가, 데이터시각화, 데이터 사이언티스트, SI·시스템통합",N/A
Business Data Analyst,(주)센트비,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52169784&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울영등포구,경력 3~10년,N/A,학력무관,"데이터엔지니어, 데이터분석가, MySQL, AWS, 금융기관",~ 11/27(목)
[유명 스타트업] Sr Product Data Analyst 채용,(주)맨파워써치앤컨설팅,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52171418&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울강남구,경력 6~12년,N/A,대졸↑,"데이터분석가, 데이터분석, 컨텐츠제공",~ 11/13(목)
[외국계 재보험사] Data Analyst,(주)리앤파트너,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52154511&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울서초구,경력 3~10년,N/A,대졸↑,"애널리스트, 금융사무, SQL, 손해보험사, 생명보험사",N/A
Sr.AI&Data Analysis Specialist_11y~,피엠인터내셔널코리아(유),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52251659&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울영등포구,경력 11~15년,N/A,대졸↑,"데이터분석가, AI(인공지능), 판매",~ 12/09(화)
Sr.AI&Data Analysis Specialist_5y~,피엠인터내셔널코리아(유),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52251653&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울영등포구,경력 5~10년,N/A,대졸↑,"데이터분석가, AI(인공지능), 판매",~ 12/09(화)
[외국계 소비재사] Associate Data Analyst (2년 자체계약직),스카우트앤컴퍼니,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52252776&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울강남구,경력2년↑,N/A,대졸↑,"데이터분석, 에너지",~ 11/22(토)
Trade Marketing Data Analyst 채용,엠즈베버리지(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52060161&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울서초구,경력 7~15년,N/A,대졸↑,"전략기획, 사업기획, 기획, 마케팅기획, 상품기획",~ 11/15(토)
금호타이어 수시채용(구매/영업/컴파운드개발/전기안전/품질),금호타이어(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52207708&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울종로구,신입·경력,N/A,초대졸↑,"통계/분석, 위험분석, 재무분석, 데이터분석, 경영분석",~ 11/13(목)
2025년 하반기 부문별 수시채용,(주)이디야,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52168706&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울강남구,신입·경력,N/A,고졸↑,"매출관리, 통계/분석, DBA, 데이터분석, 품질분석",N/A
[알레르망] 2025년 하반기 수시 채용 모집,(주)알레르망,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52188506&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울강남구,신입·경력,N/A,대졸↑,"데이터엔지니어, 매출관리, 통계/분석, 데이터분석가, 통화품질분석",~ 12/31(수)
2025년 하반기 신입/경력사원 채용,(주)도루코,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52145617&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울강남구,신입·경력,N/A,대졸↑,"OracleDB, 마케팅기획, 마케팅, 브랜드마케팅, Java",N/A
[동국제약] 신입/경력 채용(헬스케어/광고/개발/건강기능식품/영업/마케팅/생산) ~ 11/16,동국제약(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52238942&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울강남구,신입·경력,N/A,대졸↑,"온라인MD, 브랜드관리, 채널관리, 브랜드MD, 마케팅기획",~ 11/16(일)
2025년도 하반기 신입(인턴) 및 경력사원 채용,(주)클리오,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51928492&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울성동구,신입·경력,N/A,학력무관,"품질분석, 경영분석, 실적관리, VOC분석, 상품분석",~ 11/30(일)
2025년 하반기 부문별 신입/경력 사원 채용,(주)씨티씨바이오,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52251335&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,경기화성시,신입·경력,N/A,고졸↑,"품질분석, 연구원, 마케팅기획, 마케팅, 광고마케팅",~ 11/17(월)
[3M] 한국쓰리엠 신입/경력사원 모집 안내,한국쓰리엠(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52145994&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울영등포구,신입·경력,N/A,대졸↑,"데이터엔지니어, 환경측정분석사, DBA, 대기측정분석사, 데이터분석가",~ 12/31(수)
2025년 4분기 부문별 정기 공개채용 (정규직전환형 인턴),크린팩토메이션(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52264723&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,경기화성시,신입·경력,N/A,초대졸↑,"품질분석, 기술지원, 백엔드/서버개발, SE(시스템엔지니어), Java",~ 11/24(월)
각 부문 신입/경력 채용,(주)위츠,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52229001&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,경기수원시 영통구,신입·경력,N/A,대졸↑,"데이터분석, 데이터시각화, 자료입력, 실적관리, 데이터마이닝",~ 11/14(금)
신입 및 경력 사원 모집,(주)한양건설,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52213535&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울송파구,신입·경력,N/A,초대졸↑,"유지보수, 재무, 재무제표, 영업직, 부동산",~ 11/18(화)
2025년 하반기 Connect GLOVIS 신입채용,현대글로비스(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52231071&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울성동구,신입,N/A,대졸↑,"영업직, 전략기획, 사업관리, 생산관리, 안전관리자",~ 11/14(금)
각 부문 채용,하나제약(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52188426&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울강남구,신입·경력,N/A,고졸↑,"매출관리, OracleDB, 품질분석, RDBMS, SE(시스템엔지니어)",~ 11/15(토)
㈜우진플라임 부문별 인재채용,(주)우진플라임,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52214301&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,충북보은군,신입·경력,N/A,학력무관,"데이터분석가, 데이터분석, OracleDB, 품질분석, 경영분석",~ 11/30(일)
경보제약 신입/경력 수시 채용,(주)경보제약,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52250866&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,충남아산시,신입·경력,N/A,초대졸↑,"품질분석, 환경분석, 대기환경기사, 연구원, 환경관리자",~ 11/18(화)
2025년 11월 테크윙 각 부문 채용,(주)테크윙,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52261951&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,충남아산시,신입·경력,N/A,고졸↑,"품질분석, RDBMS, 특허분석, 환경분석, 빅데이터",~ 11/24(월)
2025년 11월 한미그룹 수시채용 [각 부문별],한미약품(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52189491&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=default_mysearch&paid_fl=n&search_uuid=934c6a93-0d8b-4838-84f2-c0bfaf7a7dd7,서울송파구,신입·경력,N/A,고졸↑,"백엔드/서버개발, 사업기획, 사업관리, 신사업기획, R&D",~ 11/16(일)
